graph,num_nodes,num_edges,density,avg_degree,max_degree,clustering_coef,is_directed,num_components,is_connected,has_cycle,label
g2502.json,46,88,0.085,3.8260869565217392,13,0.1263438252568687,False,1,True,True,bfs
g7700.json,40,67,0.086,3.35,4,0.0,False,1,True,True,bfs
g6812.json,42,71,0.082,3.380952380952381,4,0.0,False,1,True,True,bfs
g5697.json,14,14,0.154,2.0,3,0.0,False,1,True,True,bfs
g2152.json,17,16,0.118,1.8823529411764703,7,0.0,False,1,True,False,bfs
g4985.json,28,56,0.148,4.0,7,0.436734693877551,False,1,True,True,bfs
g7350.json,21,32,0.152,3.047619047619047,4,0.0,False,1,True,True,bfs
g3313.json,45,86,0.087,3.8222222222222224,11,0.1542953342953343,False,1,True,True,bfs
g6111.json,32,52,0.105,3.25,4,0.0,False,1,True,True,bfs
g349.json,33,168,0.318,10.181818181818182,15,0.3134059543150452,False,1,True,True,bfs
g3743.json,39,140,0.189,7.17948717948718,19,0.2631248011159894,False,1,True,True,bfs
g4086.json,50,50,0.041,2.0,3,0.0,False,2,False,True,greedy_coloring
g2851.json,41,148,0.18,7.219512195121951,19,0.2488278374029336,False,1,True,True,bfs
g6541.json,40,67,0.086,3.35,4,0.0,False,1,True,True,bfs
g719.json,45,305,0.308,13.555555555555555,21,0.2972132689005754,False,1,True,True,bfs
g1284.json,42,201,0.233,9.571428571428571,18,0.2686494644477838,False,1,True,True,bfs
g4069.json,39,39,0.053,2.0,3,0.0,False,2,False,True,greedy_coloring
g1791.json,26,41,0.126,3.1538461538461537,7,0.1285714285714286,False,1,True,True,bfs
g6054.json,24,37,0.134,3.0833333333333335,4,0.0,False,1,True,True,bfs
g4593.json,39,78,0.105,4.0,6,0.4427350427350427,False,1,True,True,bfs
g3256.json,29,78,0.192,5.379310344827586,17,0.3591745475619715,False,1,True,True,bfs
g8949.json,127,126,0.016,1.984251968503937,3,0.0,False,1,True,False,bfs
g4439.json,31,62,0.133,4.0,6,0.346236559139785,False,1,True,True,bfs
g6404.json,25,40,0.133,3.2,4,0.0,False,1,True,True,bfs
g3606.json,15,14,0.133,1.8666666666666667,5,0.0,False,1,True,False,bfs
g2914.json,50,225,0.184,9.0,24,0.2691010206646227,False,1,True,True,bfs
g7645.json,35,58,0.097,3.3142857142857145,4,0.0,False,1,True,True,bfs
g5678.json,30,30,0.069,2.0,3,0.0,False,2,False,True,greedy_coloring
g6957.json,12,17,0.258,2.8333333333333335,4,0.0,False,1,True,True,bfs
g2447.json,27,110,0.313,8.148148148148149,19,0.3886027877255947,False,1,True,True,bfs
g5382.json,18,36,0.235,4.0,6,0.2555555555555555,False,1,True,True,bfs
g7215.json,16,24,0.2,3.0,4,0.0,False,1,True,True,bfs
g5228.json,45,135,0.136,6.0,9,0.3963844797178131,False,1,True,True,bfs
g2017.json,23,60,0.237,5.217391304347826,14,0.4407177363699103,False,1,True,True,bfs
g5802.json,41,82,0.1,4.0,6,0.2845528455284553,False,1,True,True,bfs
g4710.json,44,44,0.047,2.0,4,0.0,False,1,True,True,bfs
g575.json,6,4,0.267,1.3333333333333333,2,0.0,False,2,False,False,greedy_coloring
g9122.json,127,126,0.016,1.984251968503937,3,0.0,False,1,True,False,bfs
g1512.json,36,72,0.114,4.0,8,0.0447089947089947,False,1,True,True,bfs
g4340.json,38,76,0.108,4.0,6,0.2789473684210526,False,1,True,True,bfs
g3485.json,29,28,0.069,1.9310344827586208,7,0.0,False,1,True,False,bfs
g125.json,13,12,0.154,1.8461538461538465,4,0.0,False,1,True,False,bfs
g9088.json,31,30,0.065,1.935483870967742,3,0.0,False,1,True,False,bfs
g9572.json,121,120,0.017,1.9834710743801651,4,0.0,False,1,True,False,bfs
g7995.json,36,60,0.095,3.3333333333333335,4,0.0,False,1,True,True,bfs
g1142.json,32,50,0.101,3.125,6,0.0239583333333333,False,1,True,True,bfs
g6687.json,24,37,0.134,3.0833333333333335,4,0.0,False,1,True,True,bfs
g5101.json,19,57,0.333,6.0,8,0.4596491228070176,False,1,True,True,bfs
g9821.json,341,340,0.006,1.994134897360704,5,0.0,False,1,True,False,bfs
g8733.json,121,120,0.017,1.9834710743801651,4,0.0,False,1,True,False,bfs
g73.json,25,68,0.227,5.44,10,0.2627619047619048,False,1,True,True,bfs
g2294.json,42,117,0.136,5.571428571428571,16,0.235086408300694,False,1,True,True,bfs
g5551.json,15,30,0.286,4.0,7,0.2406349206349207,False,1,True,True,bfs
g826.json,30,64,0.147,4.266666666666667,8,0.093015873015873,False,1,True,True,bfs
g8699.json,127,126,0.016,1.984251968503937,3,0.0,False,1,True,False,bfs
g8363.json,121,120,0.017,1.9834710743801651,4,0.0,False,1,True,False,bfs
g1841.json,31,131,0.282,8.451612903225806,13,0.3041297412265155,False,1,True,True,bfs
g7096.json,64,112,0.056,3.5,4,0.0,False,1,True,True,bfs
