graph,algo,num_nodes,num_edges,density,avg_degree,max_degree,clustering_coef,is_directed,num_components,is_connected,has_cycle,time
g2502.json,bfs,46,88,0.085,3.8260869565217392,13,0.12634382525686874,False,1,True,True,0.000133
g7700.json,bfs,40,67,0.086,3.35,4,0.0,False,1,True,True,1.4e-05
g6812.json,bfs,42,71,0.082,3.380952380952381,4,0.0,False,1,True,True,1.4e-05
g5697.json,bfs,14,14,0.154,2.0,3,0.0,False,1,True,True,7e-06
g2152.json,bfs,17,16,0.118,1.8823529411764706,7,0.0,False,1,True,False,7e-06
g4985.json,bfs,28,56,0.148,4.0,7,0.436734693877551,False,1,True,True,1e-05
g7350.json,bfs,21,32,0.152,3.0476190476190474,4,0.0,False,1,True,True,8e-06
g3313.json,bfs,45,86,0.087,3.8222222222222224,11,0.1542953342953343,False,1,True,True,1.3e-05
g6111.json,bfs,32,52,0.105,3.25,4,0.0,False,1,True,True,1e-05
g349.json,bfs,33,168,0.318,10.181818181818182,15,0.31340595431504525,False,1,True,True,9e-06
g3743.json,bfs,39,140,0.189,7.17948717948718,19,0.2631248011159894,False,1,True,True,1.1e-05
g4086.json,greedy_coloring,50,50,0.041,2.0,3,0.0,False,2,False,True,0.000122
g2851.json,bfs,41,148,0.18,7.219512195121951,19,0.2488278374029336,False,1,True,True,1.3e-05
g6541.json,bfs,40,67,0.086,3.35,4,0.0,False,1,True,True,1.4e-05
g719.json,bfs,45,305,0.308,13.555555555555555,21,0.2972132689005754,False,1,True,True,1.2e-05
g1284.json,bfs,42,201,0.233,9.571428571428571,18,0.26864946444778387,False,1,True,True,1.3e-05
g4069.json,greedy_coloring,39,39,0.053,2.0,3,0.0,False,2,False,True,3.2e-05
g1791.json,bfs,26,41,0.126,3.1538461538461537,7,0.1285714285714286,False,1,True,True,1e-05
g6054.json,bfs,24,37,0.134,3.0833333333333335,4,0.0,False,1,True,True,9e-06
g4593.json,bfs,39,78,0.105,4.0,6,0.4427350427350427,False,1,True,True,1.3e-05
g3256.json,bfs,29,78,0.192,5.379310344827586,17,0.35917454756197154,False,1,True,True,9e-06
g8949.json,bfs,127,126,0.016,1.984251968503937,3,0.0,False,1,True,False,2.9e-05
g4439.json,bfs,31,62,0.133,4.0,6,0.346236559139785,False,1,True,True,1e-05
g6404.json,bfs,25,40,0.133,3.2,4,0.0,False,1,True,True,9e-06
g3606.json,bfs,15,14,0.133,1.8666666666666667,5,0.0,False,1,True,False,6e-06
g2914.json,bfs,50,225,0.184,9.0,24,0.26910102066462277,False,1,True,True,1.5e-05
g7645.json,bfs,35,58,0.097,3.3142857142857145,4,0.0,False,1,True,True,1.1e-05
g5678.json,greedy_coloring,30,30,0.069,2.0,3,0.0,False,2,False,True,2.6e-05
g6957.json,bfs,12,17,0.258,2.8333333333333335,4,0.0,False,1,True,True,5e-06
g2447.json,bfs,27,110,0.313,8.148148148148149,19,0.38860278772559476,False,1,True,True,9e-06
g5382.json,bfs,18,36,0.235,4.0,6,0.25555555555555554,False,1,True,True,6e-06
g7215.json,bfs,16,24,0.2,3.0,4,0.0,False,1,True,True,6e-06
g5228.json,bfs,45,135,0.136,6.0,9,0.3963844797178131,False,1,True,True,1.4e-05
g2017.json,bfs,23,60,0.237,5.217391304347826,14,0.44071773636991035,False,1,True,True,8e-06
g5802.json,bfs,41,82,0.1,4.0,6,0.28455284552845533,False,1,True,True,1.2e-05
g4710.json,bfs,44,44,0.047,2.0,4,0.0,False,1,True,True,1.5e-05
g575.json,greedy_coloring,6,4,0.267,1.3333333333333333,2,0.0,False,2,False,False,7e-06
g9122.json,bfs,127,126,0.016,1.984251968503937,3,0.0,False,1,True,False,2.8e-05
g1512.json,bfs,36,72,0.114,4.0,8,0.04470899470899471,False,1,True,True,1.3e-05
g4340.json,bfs,38,76,0.108,4.0,6,0.2789473684210526,False,1,True,True,1.2e-05
g3485.json,bfs,29,28,0.069,1.9310344827586208,7,0.0,False,1,True,False,9e-06
g125.json,bfs,13,12,0.154,1.8461538461538463,4,0.0,False,1,True,False,0
g9088.json,bfs,31,30,0.065,1.935483870967742,3,0.0,False,1,True,False,9e-06
g9572.json,bfs,121,120,0.017,1.9834710743801653,4,0.0,False,1,True,False,2.5e-05
g7995.json,bfs,36,60,0.095,3.3333333333333335,4,0.0,False,1,True,True,1.2e-05
g1142.json,bfs,32,50,0.101,3.125,6,0.023958333333333335,False,1,True,True,1.1e-05
g6687.json,bfs,24,37,0.134,3.0833333333333335,4,0.0,False,1,True,True,8e-06
g5101.json,bfs,19,57,0.333,6.0,8,0.4596491228070176,False,1,True,True,8e-06
g9821.json,bfs,341,340,0.006,1.9941348973607038,5,0.0,False,1,True,False,6.6e-05
g8733.json,bfs,121,120,0.017,1.9834710743801653,4,0.0,False,1,True,False,2.5e-05
g73.json,bfs,25,68,0.227,5.44,10,0.2627619047619048,False,1,True,True,8e-06
